salary_in_usd
125000
88654
144854
152500
38400
65438
99360
150000
180000
153667
147000
140000
135000
160080
170000
53192
19609
211500
105000
8000
13400
90320
170000
86703
40189
130000
45807
450000
79833
67000
130000
61300
132320
102100
72212
47899
154600
50000
80000
123000
66022
5707
32974
140000
100000
69999
100000
130000
160000
380000
45807
184700
162674
250000
60000
150000
76958
276000
160000
150000
54000
200000
230000
98158
99000
81666
88654
209100
65949
173762
200000
91237
18907
180000
99000
65438
90000
100000
160000
10354
104702
220000
4000
135000
62651
96282
25532
115000
80000
123000
205300
48000
45391
50000
240000
93700
35735
135000
56000
60000
210000
38776
146000
209100
87932
130000
220110
70139
98158
325000
21983
46597
161342
136620
50180
159000
177000
118187
20171
93700
115934
64849
144000
120000
39263
108800
196979
60757
70000
12000
98000
235000
90320
49268
118000
150260
33808
114047
117789
99703
167000
126500
152000
220110
192600
76833
29751
22611
165400
90320
78526
72000
15966
155000
90320
155000
41689
105000
45807
100000
20000
115500
215300
70500
164996
52351
416000
42000
200000
66265
6072
71786
250000
423000
46809
106260
174000
75000
78526
96113
70912
170000
110925
68147
190200
160080
55000
157000
28369
242000
174000
75774
189650
128875
75000
167000
62000
87932
235000
140400
105000
200000
120000
58894
100000
165000
135000
150000
175000
180000
135000
128875
103000
80000
28399
123000
105400
138350
113476
58000
82900
16904
52396
84900
168000
93150
135000
112900
10000
87932
106260
54094
405000
165000
62649
220000
141300
90000
100800
113000
124190
216000
110037
210000
12000
82500
21637
101570
450000
189650
120000
59102
90000
80000
50000
61896
37825
180000
36643
80000
65949
120000
260000
213120
145000
151000
87932
160000
56256
224000
54742
140000
40570
160000
158200
145000
140400
115000
60000
52351
37300
140000
170000
200100
100000
241000
103160
5679
160000
104890
105000
54957
52351
150000
78000
200000
116000
76940
130026
120160
63711
71982
24342
324000
185000
200000
225000
60000
65000
132000
79039
225000
210000
18442
95550
9466
170000
94665
140400
106000
115000
65000
78791
24000
43966
210000
112872
150000
62726
105000
28476
110000
50000
130000
125000
39916
74130
100000
170000
150000
63810
135000
87425
116914
205300
89294
91000
103691
20000
137141
20000
81000
58255
214000
79833
25000
100000
200000
112900
69741
192400
117789
93000
90734
150000
200000
140000
102100
43966
75000
87738
180000
144000
100000
5882
90700
82528
70000
130000
185000
130800
58000
40000
188000
68428
60000
111775
110000
61467
100000
33511
85000
16228
31875
208775
51064
63900
120000
93427
220000
21669
50000
20000
192564
69336
45618
85000
119059
45760
35590
147800
69741
28609
45896
243900
150000
90000
100000
37236
129000
65013
195000
85000
154600
185100
51519
124333
260000
116150
79197
12901
46759
120000
49461
125000
136000
76833
109280
156600
80000
87000
165220
164000
85000
80000
52000
210000
230000
115000
165000
170000
175100
74000
91614
150000
120000
183228
205300
600000
6072
78526
31615
230000
58000
21844
132320
49461
75000
167875
126500
100000
95746
164996
110000
18442
112900
24823
144000
200000
43331
42197
187442
72500
91614
36259
